	Collocate	Freq	Coll. freq.	logDice	Category (Dominant)	Category #2	Category #3	Example	Example (Translation)	Notes/Rationale
10	vlada	1448	249910	7.36277	Group relations	Power resources	Ideology	Ravno tako dobro vemo, da za podporo tej vaši vladi, ki se s korupcijo kar rada ukvarja, se lahko legalizira tudi črna gradnja na atraktivni lokaciji, ki je bila prej lopa, recimo ob morju.	We also know very well that in order to support your government, which is quite fond of corruption, illegal construction in attractive locations, such as by the sea, can be legalized.	Vaša vlada (Your Government): Contrary to our Government, here there is no duality in the meaning. It is used to point out the blame and attack of (current/previous) government.
11	trditev	190	5289	7.15613	Activities/Discourse	Group relations		Kasneje se je seveda izkazalo, da tiste vaše trditve niso najbolj stale. Pa kljub temu. Stanje danes imamo, da imamo še zmeraj ogromno težav [...] 	Later, of course, it turned out that your claims were not entirely accurate. Nevertheless, the situation today is that we still have enormous problems. 	Vaša trditev (Your claim): Similar function to vaša izjava.
12	odločitev	304	34389	7.09725	Activities/Discourse	Group relations		Sam se tudi zavedam, da z mojo razpravo ne bom spremenil vaših odločitev, bi pa nekaj stvari ponovil, [...]	I am also aware that my discussion will not change your decisions, but I would like to reiterate a few things.	Vaša odločitev (Your decision): Parliamentary activity; used to frame responsibility, caution, or criticism regarding decisions made by the opposing side.
13	predlog	1091	231830	7.04781	Activities/Discourse	Group relations		In ne zavajajte, da so vse rejniške pokrite z vašim predlogom zakona, ker vam je vaš državni sekretar povedal jasno in glasno, da niso.	And don't mislead people into thinking that all foster parents are covered by your proposed legislation, because your state secretary has told you loud and clear that they are not.	Vaš predlog (Your proposal): Similar function to odločitev. 
14	nastop	157	5401	6.8772	Activities/Discourse	Power resources		Od začetka epidemije in vašega nastopa funkcije ministrice sem na vas naslovila več vprašanj [...]	Since the beginning of the epidemic and your appointment as minister, I have addressed several questions to you [...]	Vaš nastop (Your appointment (to a role)/appearance/performance): Collocations with several different meanings - performance, speech, or behaviour in parliamentary debate, media,  public appearances of a speaker, as well as their appointment to a role.
15	stališče	342	58657	6.85187	Activities/Discourse	Group relations		Ampak za razliko od vašega stališča, jaz sem prebrala vašo novelo zakona.	But unlike you, I have read your draft amendment.	Vaše stališče (Your position): Similar function to vaše mnenje. Also very prominent in MP questions segments (mostly function as pointed questions to MP of the opposing side or , when directed at MPs from the same party or coalition, serving as an opportunity for them to respond by highlighting the effectiveness of their own work (or that of the government, party, etc.).
16	političen	282	42673	6.83329	Group relations	Ideology	Power resources	Pa ne govorim to konkretno za vas, kolega Prebil, ampak na splošno za vašo politično opcijo.	I am not referring specifically to you, Mr. Prebil, but generally to your political option.	Your political (responsibility/agenda/colleague/allies/party/...): Adjective, similar in function to Your coalition. However, in this case, the explicit reference to the group to which the speaker belongs is not clear.
17	kolega	463	95807	6.82118	Group relations	Power resources	Ideology	Dokažite! Vse ostalo vam škodi in če bo škodilo zdaj, vam bo škodilo kasneje, ker to je karma, spoštovani minister, če ne verjamete v te stvari, ker to je neverjetno! In vsi skupaj, tudi vaši kolegi iz SDS, si zaslužijo boljše ljudi na položaju.	Prove it! Everything else is harmful to you, and if it is harmful now, it will be harmful later, because that is karma, dear minister, if you do not believe in these things, because it is unbelievable! And all of you, including your colleagues from the SDS, deserve better people in office.	Vaš kolega (Your colleague): Most often refers to political colleagues (allies from the same party, coalition, opposition, or ideological field), but can also refer to other (non-political) colleagues, though this is much less common.
18	predsednik	423	87938	6.77802	Ideology	Power resources	Group relations	Če kdo v Državnem zboru oziroma v celotni državni politiki je bil komunist, je to vaš predsednik Janez Janša.	If anyone in the National Assembly or in national politics as a whole was a communist, it was your president, Janez Janša.	Vaš predsednik (Your president): Reference to either party president, Prime minister, or of the National Assembly. It is used to assign responsibility and blame to the speaker through their political leader.
19	resor	147	6068	6.76043	Power resources	Group relations		Ukrepajte! To je vaš resor. Ukrepajte ali pa enostavno ne pristajajte več na to in ne podpirajte te groze.	Take action! This is your responsibility. Take action or simply refuse to accept this anymore and stop supporting this horror.	Vaš resor (Your department): Similar function to your Ministry.
